Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Country,Region,Parent_Name,Volume,Volume_M_Change,Volume_Y_Change,Open_Interest,Open_Interest_M_Change,Open_Interest_Y_Change
All Options on Individual Equities,Option,Equity,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,1081236.00,226.69%,136.43%,2518229.00,12.39%,47.04%
All Options on Individual Equities,Option,Equity,Korea Exchange,South Korea,Asia,Korea Exchange,1773290.00,-11.81%,-12.03%,164171.00,-20.11%,2.72%
All Options on Individual Equities,Option,Equity,MEFF,Spain,Europe,MEFF,1342502.00,3.13%,40.16%,9077616.00,6.84%,-5.45%
All Options on Individual Equities,Option,Equity,Mexican Derivatives Exchange,Mexico,Latin America,BMV Group,30110.00,-79.49%,-49.60%,122110.00,0.03%,24.77%
All Options on Individual Equities,Option,Equity,MIAX Options,United States,North America,Miami International Holdings,9774827.00,4.24%,-23.54%,,,
All Options on Individual Equities,Option,Equity,MIAX Pearl,United States,North America,Miami International Holdings,1015879.00,29.53%,,,,
All Options on Individual Equities,Option,Equity,Montreal Exchange,Canada,North America,TMX Group,1679539.00,4.62%,-7.46%,2694433.00,10.33%,-10.93%
All Options on Individual Equities,Option,Equity,Moscow Exchange,Russia,Europe,Moscow Exchange,117606.00,23.91%,-65.67%,165250.00,63.81%,-48.06%
All Options on Individual Equities,Option,Equity,Nasdaq Boston,United States,North America,Nasdaq,1412363.00,11.31%,-10.61%,,,
All Options on Individual Equities,Option,Equity,Nasdaq Exchanges Nordic Markets,Sweden,Europe,Nasdaq,1599439.00,-9.31%,-0.48%,3878075.00,11.46%,9.61%
All Options on Individual Equities,Option,Equity,Nasdaq Options Market,United States,North America,Nasdaq,18732176.00,8.20%,12.53%,,,
All Options on Individual Equities,Option,Equity,Nasdaq PHLX,United States,North America,Nasdaq,31224966.00,13.14%,19.53%,,,
All Options on Individual Equities,Option,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,11169729.00,5.54%,39.87%,679769.00,132.01%,164.58%
All Options on Individual Equities,Option,Equity,NYSE Amex,United States,North America,Intercontinental Exchange,10885715.00,8.71%,2.14%,,,
All Options on Individual Equities,Option,Equity,NYSE Arca,United States,North America,Intercontinental Exchange,16507567.00,8.28%,-14.77%,,,
CDD Weather,Option,Other,Chicago Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,20000.00,-33.33%,1900.00%
All Options on Individual Equities,Option,Equity,Oslo Stock Exchange,Norway,Europe,Oslo Stock Exchange,232792.00,-6.57%,31.89%,409682.00,-1.89%,-24.41%
All Options on Individual Equities,Option,Equity,Taiwan Futures Exchange,Taiwan,Asia,Taiwan Futures Exchange,17309.00,8.43%,-32.20%,5213.00,-8.17%,-25.33%
All Options on Individual Equities,Option,Equity,Tel-Aviv Stock Exchange,Israel,Other,Tel-Aviv Stock Exchange,69575.00,-2.43%,-40.13%,57319.00,-15.99%,-27.57%
CECE EUR,Option,Equity,Eurex,Germany,Europe,Eurex,0.00,,,3000.00,0.00%,150.00%
All options on Individual Equities,Option,Equity,Hong Kong Exchanges and Clearing,Hong Kong,Asia,Hong Kong Exchanges and Clearing,11753123.00,9.44%,70.36%,9037100.00,5.00%,39.19%
All Options on Individual Equities (Combined),Option,Equity,Japan Exchange,Japan,Asia,Japan Exchange,85402.00,3.61%,4.86%,102548.00,5.32%,3.34%
All Options on Irish Equities,Option,Equity,Eurex,Germany,Europe,Eurex,1671.00,488.38%,150.15%,1602.00,273.43%,2.04%
All Options on Italian Equities,Option,Equity,Eurex,Germany,Europe,Eurex,404768.00,38.40%,27.76%,2444602.00,10.31%,8.95%
All Options on Russian Equities,Option,Equity,Eurex,Germany,Europe,Eurex,4096.00,-45.24%,-37.89%,27524.00,12.48%,-85.86%
All Options on Spanish Equities,Option,Equity,Eurex,Germany,Europe,Eurex,408710.00,1.34%,-55.61%,2540637.00,4.57%,-20.60%
All Options on Swedish Equities,Option,Equity,Eurex,Germany,Europe,Eurex,148.00,-93.26%,-90.28%,2164.00,-2.35%,-3.86%
All Options on Swiss Equities,Option,Equity,Eurex,Germany,Europe,Eurex,3066102.00,27.95%,11.09%,11658418.00,10.43%,-0.78%
Alumina FOB Australia (Platts) (ALA),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,1990.00,696.00%,,1900.00,660.00%,
Aluminium,Future,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,4545545.00,22.70%,21.22%,916077.00,7.96%,-1.44%
Aluminium Alloy,Future,Metals,London Metal Exchange,United Kingdom,Europe,Hong Kong Exchanges and Clearing,3508.00,-3.81%,-45.22%,498.00,-18.63%,-62.24%
Aluminium European Premium Duty-Paid (Metal Bulletin) (EDP),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,4200.00,775.00%,165.82%,11225.00,48.56%,294.55%
Aluminium European Premium Metal Bulletin (25 MT Duty Unpaid) (AEP),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,4140.00,475.00%,187.50%,15539.00,14.77%,119.88%
Aluminum,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,198791.00,29.70%,50.43%,6718.00,113.41%,70.55%
Aluminum,Future,Metals,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,10389451.00,235.98%,338.44%,495733.00,62.10%,84.53%
Aluminum (ALI),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,53.00,-84.04%,-92.07%,217.00,-40.22%,-3.56%
Chicago CBOB Gasoline (Platts) vs. RBOB Gasoline (3C),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,15.00,-16.67%,-94.57%
Aluminum Japan Premium (Platts) (MJP),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,1710.00,-35.57%,98.84%,7246.00,7.83%,128.44%
Aluminum Mini,Future,Metals,Multi Commodity Exchange of India,India,Asia,Multi Commodity Exchange of India,380810.00,31.17%,75.21%,10216.00,85.61%,121.22%
Aluminum MW US Transaction Premium Platts (25 MT) (AUP),Future,Metals,Commodity Exchange (COMEX),United States,North America,CME Group,7446.00,57.35%,50.03%,28141.00,-1.41%,-7.60%
Chinese Renminbi/Rand,Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,0.00,,,10.00,0.00%,
CIG Rockies Natural Gas (Platts IFERC) Basis (CI),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,-100.00%,30965.00,-6.49%,-41.86%
Any-Day Expiry Dollar/Rand,Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,300555.00,-38.33%,169.08%,104721.00,-1.86%,618.84%
Any-Day Expiry Dollar/Rand,Option,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,1018735.00,536.42%,205.47%,738830.00,860.14%,212.27%
CIG Rockies Natural Gas (Platts IFERC) Fixed Price (XIC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,28.00,-12.50%,
CME Bloomberg Dollar Spot Index,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,6.00,0.00%,500.00%
Coal (API 2) CIF ARA (Argus/McCloskey) (MTO),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,1055.00,-19.16%,18.54%
Arabica Coffee,Future,Agriculture,B3,Brazil,Latin America,B3,12562.00,42.39%,,9767.00,0.70%,
Coal (API 2) CIF ARA (Argus/McCloskey) Quarterly (CQA),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,20.00,0.00%,-99.94%
Arabica Coffee,Option,Agriculture,B3,Brazil,Latin America,B3,266.00,343.33%,,339.00,-29.52%,
Columbia Gas TCO (Platts IFERC) Basis (TC),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,-100.00%,18182.00,-8.26%,-44.73%
Arabica Coffee Rollover,Future,Agriculture,B3,Brazil,Latin America,B3,2122.00,550.92%,,0.00,,
"Columbia Gulf, Louisiana Natural Gas (Platts IFERC) Basis (GL)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,,5734.00,-22.92%,-70.18%
Argus Gasoline Euro-Bob Oxy Barges NWE Crack Spread (1000 MT) (EOB),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,31.00,181.82%,,54.00,38.46%,-21.74%
Argus LLS vs. WTI (Argus) Trade Month (E5),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,16416.00,166.71%,30.08%,15567.00,96.21%,8.81%
Argus Propane (Saudi Aramco) (9N),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,1330.00,58.90%,225.18%,1104.00,25.60%,22.94%
Argus Propane Far East Index (7E),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,4959.00,40.05%,332.72%,2732.00,13.41%,29.29%
Argus Propane Far East Index Balance of the Month (22),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,111.00,122.00%,344.00%,106.00,178.95%,324.00%
Argus Propane Far East Index vs. European Propane CIF ARA (Argus) (91),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,265.00,30.54%,82.76%,517.00,5.08%,36.77%
"Columbia Gulf, Mainline Natural Gas (Platts IFERC) Basis (5Z)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,-100.00%,9192.00,-11.62%,-67.09%
Conway Propane (OPIS) Average Price (CPR),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,18.00,0.00%,-94.55%
ATX,Future,Equity,Eurex,Germany,Europe,Eurex,808.00,-35.72%,-75.52%,23359.00,-0.69%,-41.28%
ATX,Option,Equity,Eurex,Germany,Europe,Eurex,270.00,,213.95%,495.00,120.00%,-21.18%
ATX five,Future,Equity,Eurex,Germany,Europe,Eurex,2.00,0.00%,-99.21%,1038.00,0.00%,-49.88%
Corn,Option,Agriculture,Rosario Futures Exchange,Argentina,Latin America,Rosario Futures Exchange,0.00,,-100.00%,28.00,0.00%,21.74%
AUD/JPY,Option,Currencies,North American Derivative Exchange,United States,North America,North American Derivative Exchange,8536.00,16.44%,16.12%,,,
Cotton (TT),Future,Agriculture,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,2.00,0.00%,-83.33%
AUD/USD,Future,Currencies,Moscow Exchange,Russia,Europe,Moscow Exchange,37200.00,-18.45%,-50.58%,18976.00,18.33%,35.39%
AUD/USD,Future,Currencies,Singapore Exchange,Singapore,Asia,Singapore Exchange,2.00,,,0.00,,
AUD/USD,Option,Currencies,North American Derivative Exchange,United States,North America,North American Derivative Exchange,84108.00,18.06%,-5.24%,,,
AUD/USD Premium Quoted (European Style) – 2 PM Fix,Option,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,146276.00,-27.68%,29391.13%,89306.00,2.96%,17905.24%
CZK/HUF,Future,Currencies,Budapest Stock Exchange,Hungary,Europe,CEE Stock Exchange Group,0.00,-100.00%,,10.00,0.00%,
Australian Coking Coal (Platts) Low Vol (ALW),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,10.00,,-95.88%,576.00,-8.57%,-42.80%
Australian Dollar,Future,Currencies,B3,Brazil,Latin America,B3,3909.00,-39.03%,,1843.00,4.95%,
db x-trackers MSCI World TRN (DBXW),Option,Equity,Eurex,Germany,Europe,Eurex,0.00,,,2.00,0.00%,
Australian Dollar,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,2048551.00,5.89%,1.64%,157078.00,12.81%,45.79%
Australian Dollar,Future,Currencies,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,2446.00,102.82%,302.30%,298.00,250.59%,1141.67%
Demarc Natural Gas (Platts IFERC) Basis (PE),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,2400.00,-2.83%,17.02%
"Dominion, South Point Natural Gas (Platts Gas Daily/Platts IFERC) Index (IH)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,2920.00,0.00%,-56.96%
Australian Dollar/Canadian Dollar,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,4.00,-97.45%,,2.00,,
Australian Dollar/Canadian Dollar,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,64.00,300.00%,12.28%,8.00,-20.00%,-97.44%
Australian Dollar/Japanese Yen,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,2666.00,16.67%,43.03%,897.00,-45.54%,-25.06%
Australian Dollar/Japanese Yen,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,226.00,-7.00%,19.58%,123.00,-31.67%,-21.66%
Australian Dollar/Japanese Yen,Future,Currencies,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,177880.00,2.37%,-14.86%,76713.00,4.31%,-45.38%
Australian Dollar/Japanese Yen (Large),Future,Currencies,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,873.00,200.00%,-75.59%,30.00,0.00%,-70.87%
Australian Dollar/New Zealand,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,299.00,-80.01%,-90.97%,268.00,22.94%,-92.56%
Australian Dollar/New Zealand Dollar,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,101.00,-61.60%,188.57%,104.00,131.11%,225.00%
Australian Dollar/Rand (ZAAD),Future,Currencies,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,5724.00,-4.73%,-71.04%,34181.00,10.11%,117.88%
Australian Dollar/US Dollar,Future,Currencies,Tokyo Financial Exchange,Japan,Asia,Tokyo Financial Exchange,24405.00,-42.77%,-17.86%,4888.00,-3.80%,-10.64%
Australian Dollar/US Dollar 100,Future,Currencies,ICE Futures U.S.,United States,North America,Intercontinental Exchange,1831.00,39.24%,165.36%,97.00,-17.09%,-74.61%
Bank Nifty Index,Future,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,1873135.00,24.82%,8.02%,61490.00,-4.38%,-15.59%
Bank Nifty Index,Option,Equity,National Stock Exchange of India,India,Asia,National Stock Exchange of India,86009609.00,31.13%,154.55%,490913.00,51.23%,36.91%
"Dominion, South Point Natural Gas (Platts IFERC) Basis (PG)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,-100.00%,43119.00,-7.57%,-20.15%
Barley,Future,Agriculture,National Commodity & Derivatives Exchange,India,Asia,National Commodity & Derivatives Exchange,2086.00,-28.98%,-66.08%,541.00,-17.28%,-60.57%
Base Load Electricity,Future,Energy,Borsa Istanbul,Turkey,Other,Borsa Istanbul,1558.00,-14.54%,-89.47%,912.00,-29.58%,-78.90%
"Dominion, South Point Natural Gas (Platts IFERC) Fixed Price (DSF)",Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,,180.00,-50.00%,-93.64%
Dubai Crude Oil (Platts) Average Price (AH),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,150.00,0.00%,-84.85%
Bel 20 Index (BXF),Future,Equity,Euronext Derivatives Market,United Kingdom,Europe,Euronext,147.00,88.46%,-8.13%,37.00,5.71%,-21.28%
Belgian Power,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,1110.00,-16.04%,5.61%,7988.00,-1.92%,-27.84%
BIST 30 Index,Future,Equity,Borsa Istanbul,Turkey,Other,Borsa Istanbul,4024844.00,53.78%,4.12%,354087.00,-10.95%,28.29%
BIST 30 Index,Option,Equity,Borsa Istanbul,Turkey,Other,Borsa Istanbul,25053.00,13.68%,50.54%,10934.00,-45.60%,-60.07%
East-West Fuel Oil Spread (Platts) (EW),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,-100.00%,-100.00%,466.00,-17.38%,62.37%
Bitumen,Future,Energy,Shanghai Futures Exchange,China,Asia,Shanghai Futures Exchange,9979757.00,3.06%,-12.76%,411090.00,2.59%,-36.79%
Block Board,Future,Agriculture,Dalian Commodity Exchange,China,Asia,Dalian Commodity Exchange,10.00,42.86%,-75.61%,1.00,-50.00%,-94.44%
Bloomberg Commodity Index,Future,Other,Chicago Board of Trade,United States,North America,CME Group,60219.00,28.90%,190.58%,48809.00,6.87%,116.14%
Bloomberg Commodity Index,Future,Other,Eurex,Germany,Europe,Eurex,1.00,,-90.91%,15.00,0.00%,-64.29%
Bloomberg Energy Sub-index,Future,Other,Eurex,Germany,Europe,Eurex,4901.00,-23.66%,67.61%,2075.00,-45.75%,-48.70%
Bloomberg Ex-Agriculture & Livestock Index,Future,Other,Eurex,Germany,Europe,Eurex,131.00,,11.02%,3783.00,3.59%,5904.76%
Bloomberg Industrial Metals Sub-index,Future,Other,Eurex,Germany,Europe,Eurex,263.00,15.86%,241.56%,1059.00,15.61%,25.77%
Eastern Australia Feed Barley,Future,Agriculture,ASX 24,Australia,Asia,ASX,0.00,-100.00%,-100.00%,102.00,0.00%,-75.12%
Bloomberg Precious Metals Sub-index,Future,Other,Eurex,Germany,Europe,Eurex,214.00,193.15%,189.19%,981.00,9.85%,24.02%
Eastern Australia Wheat,Option,Agriculture,ASX 24,Australia,Asia,ASX,0.00,-100.00%,,275.00,0.00%,
Bobl,Future,Interest Rates,LSE Derivatives Market,United Kingdom,Europe,London Stock Exchange Group,30.00,-92.77%,,30.00,0.00%,
Bovespa Mini Index,Future,Equity,B3,Brazil,Latin America,B3,25925029.00,43.16%,,65957.00,-5.57%,
EIA Flat Tax US Retail Gasoline (JE),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,410.00,-2.38%,102.97%
Bovespa Rollover,Future,Equity,B3,Brazil,Latin America,B3,903870.00,3686.64%,,0.00,,
Electricity (Monthly),Future,Energy,SGX,Singapore,Asia,Singapore Exchange,0.00,-100.00%,,2.00,-90.91%,
Bovespa Stock Index,Future,Equity,B3,Brazil,Latin America,B3,1935590.00,65.66%,,378210.00,28.73%,
Electricity Peak Load Quarterly SA,Future,Energy,ASX 24,Australia,Asia,ASX,0.00,-100.00%,,27.00,0.00%,
Brazilian Real,Future,Currencies,Chicago Mercantile Exchange,United States,North America,CME Group,100119.00,15.66%,13.60%,33409.00,9.42%,-4.10%
Enable Natural Gas (Platts IFERC) Basis (PW),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,-100.00%,12552.00,-5.85%,-41.95%
Brent Crude Oil,Future,Energy,Dubai Gold & Commodities Exchange,United Arab Emirates,Asia,Dubai Gold & Commodities Exchange,14.00,,,2.00,,
Brent Crude Oil,Future,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,21665969.00,21.04%,32.58%,2309753.00,-0.01%,7.35%
Brent Crude Oil,Future,Energy,JSE Securities Exchange,South Africa,Other,JSE Securities Exchange,1372.00,-14.89%,-52.72%,329.00,840.00%,-80.29%
ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day (ERW),Future,Energy,New York Mercantile Exchange,United States,North America,CME Group,0.00,,,180.00,-73.91%,
Brent Crude Oil,Option,Energy,ICE Futures Europe,United Kingdom,Europe,Intercontinental Exchange,1200474.00,-16.75%,-7.32%,1657571.00,5.15%,-20.24%
Brent Crude Oil -Style Margin (BZO),Option,Energy,New York Mercantile Exchange,United States,North America,CME Group,53791.00,44.19%,82.81%,76147.00,34.28%,44.66%
Brent Crude Oil (10 Barrels),Future,Energy,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,1269.00,39.60%,,37.00,8.82%,
Brent Crude Oil (100 Barrels),Future,Energy,Pakistan Mercantile Exchange,Pakistan,Asia,Pakistan Mercantile Exchange,572.00,1806.67%,,12.00,500.00%,
